title,channel,published_at,view_count,like_count,comment_count
BABASHA - Păi Naa | Official Video,B A B A S H A,01-06-2024 15:31:53,Views: 5756739,Likes: 82807,Comments: 1202
GYA - Africa | Official Video,GYA,31-05-2024 09:00:06,Views: 1899046,Likes: 31968,Comments: 412
"Luis Gabriel ❌ BoyFlow ❌ Master-D - Mami, Te Merau | Official Video",Luis Gabriel,07-06-2024 13:00:07,Views: 2034928,Likes: 21761,Comments: 565
Florin Cercel si Luis Gabriel - Dragoste ce-nseamna fericire  Official video Live 2024,Hituri by Florin Cercel,30-05-2024 14:00:07,Views: 1371934,Likes: 14554,Comments: 182
Dani Mocanu  - Zero  |  Oficial Video,Mocanu Top Romania,08-06-2024 16:00:07,Views: 456626,Likes: 20498,Comments: 658
Alex Botea - 112 Arabii  | Official Video,X-pert Production Official,21-05-2024 14:00:07,Views: 2587193,Likes: 21363,Comments: 270
Oana Radu ❌ Leo De La Rosiori - Capu' Sus (Videoclip Oficial),Oana Radu,10-05-2024 15:01:42,Views: 9736403,Likes: 67085,Comments: 1312
Eminem - Houdini [Official Music Video],EminemVEVO,31-05-2024 04:00:02,Views: 62722355,Likes: 3235049,Comments: 197853
@YNYSebi & Burak - Panica Balkanica | Official Video,Big UP Music,01-06-2024 09:00:07,Views: 805002,Likes: 10280,Comments: 124
The Limba x Misha Miller x Andro feat. Dyce - Mamma Mia (Romanian and Spanish Version),Misha Miller,24-05-2024 07:00:02,Views: 1746871,Likes: 19207,Comments: 169
Jador X Zanni - Vise Interzise (Oficial Video),Jador,31-05-2024 14:00:06,Views: 666616,Likes: 18460,Comments: 589
Nicole Cherry - Noptile | Moon Session,Nicole Cherry,31-05-2024 13:02:03,Views: 759605,Likes: 6820,Comments: 150
Andrei Banuta - Inima mea e locul tau | Live Session w Band,Andrei Banuta,30-05-2024 09:08:08,Views: 938375,Likes: 13287,Comments: 2013
Erika Isac x Delia - ABRACADABRA | Official Video,Erika Isac,24-05-2024 11:30:30,Views: 1044358,Likes: 31700,Comments: 1596
Petre Stefan - OCHI ALBASTRI feat Bianca Ionescu (Official Video),Petre Stefan,06-06-2024 19:00:08,Views: 231949,Likes: 19407,Comments: 577
Real Skitt - Prestanta (Official Video),Real Skitt,28-05-2024 16:00:06,Views: 560171,Likes: 10696,Comments: 316
Alex Botea & Tony One - Romani si Tigani | Official Video,Tony One,01-06-2024 16:00:06,Views: 430116,Likes: 9250,Comments: 227
OSCAR - HAOS ft. M.G.L. & RAVA,OSCAR,30-05-2024 16:55:33,Views: 368583,Likes: 13965,Comments: 480
MGK666 feat. ROBERTO - Omerta M/V,MGK666,31-05-2024 19:00:07,Views: 348841,Likes: 16867,Comments: 423
Georgiana Lobont X @CostyDeoanca  ❤️‍🔥 ROMEO și JULIETA,Georgiana Lobont,31-05-2024 07:00:08,Views: 682759,Likes: 6122,Comments: 379
Vladuta Lupau - Prietena mea-i mireasa [@CatalinIancu ],Vladuta Lupau,24-05-2024 07:59:59,Views: 901386,Likes: 10867,Comments: 603
Costel Biju ❌ Ionut de la Constanta - Gata fa | Official Video,Costel Biju,20-05-2024 16:00:06,Views: 971848,Likes: 7753,Comments: 85
MAZDA,RAVA - Topic,23-05-2024 10:02:34,Views: 549840,Likes: 8315,Comments: 98
Delia x ANTONIA - eRAI | Official Music Video,Delia,10-05-2024 12:01:31,Views: 3168667,Likes: 29183,Comments: 1000
Andrei G x Costel Biju - COCO 💸 | Official Video,Andrei G,17-05-2024 13:02:42,Views: 1383849,Likes: 17989,Comments: 346
Move,Adam Port - Topic,06-06-2024 10:04:58,Views: 371965,Likes: 11949,Comments: 0
AROMA EI,RAVA - Topic,23-05-2024 10:04:57,Views: 490904,Likes: 8159,Comments: 89
OSCAR - EU ft. Ian,OSCAR,30-05-2024 16:57:53,Views: 220023,Likes: 8405,Comments: 238
"AMI - Ador, Ador | Official Music Video",AMI Official,17-05-2024 11:00:54,Views: 1473767,Likes: 16372,Comments: 590
David Ioan - INI MINI (Official Music Video),David Ioan,07-06-2024 16:00:06,Views: 96846,Likes: 7015,Comments: 322
